Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion,Id_Presupuesto
134,446,1,30/12/2011 00:00,30/12/2011 00:00,30/05/2012 00:00,536271.42,0,0,1,576
34,201,1,15/08/2011 00:00,15/08/2011 00:00,10/09/2011 00:00,208305.32,0,0,1,269
22,55,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,377804.65,0,0,1,97
19,69,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,296988.21,0,0,1,107
109,111,2,08/02/2012 00:00,08/02/2012 00:00,09/03/2012 00:00,1199687.96,30,359906.39,1,205
6,131,1,06/06/2011 00:00,06/06/2011 00:00,11/06/2011 00:00,444879.78,0,0,1,174
49,194,1,11/07/2011 00:00,11/07/2011 00:00,23/07/2011 00:00,99313.98,0,0,1,263
56,145,1,17/10/2011 00:00,17/10/2011 00:00,11/11/2011 00:00,1012240.68,0,0,1,162
136,261,1,06/02/2012 00:00,06/02/2012 00:00,15/02/2012 00:00,398844.05,0,0,1,353
97,223,2,22/12/2011 00:00,22/12/2011 00:00,11/01/2012 00:00,2000000.24,0,0,1,303
1,1,1,25/03/2011 00:00,25/03/2011 00:00,30/04/2011 00:00,1718181.12,30,515454.34,1,2
73,204,1,09/12/2011 00:00,09/12/2011 00:00,25/01/2012 00:00,1618638.23,30,485591.46,1,277
32,140,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,295501.56,0,0,1,79
94,304,1,30/12/2011 00:00,30/12/2011 00:00,28/01/2012 00:00,449764.4,0,0,1,423
39,101,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,294559.08,0,0,1,115
40,102,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,287898.64,0,0,1,117
67,162,1,30/10/2011 00:00,30/10/2011 00:00,05/11/2011 00:00,45334.68,0,0,1,212
29,60,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,216929.65,0,0,1,95
144,90,1,02/01/2012 00:00,02/01/2012 00:00,16/01/2012 00:00,71850.19,0,0,1,143
16,48,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,353987.08,0,0,1,73
105,352,1,17/02/2012 00:00,17/02/2012 00:00,25/02/2012 00:00,3332154.19,30,999646.26,1,444
154,13,2,04/03/2013 00:00,04/03/2013 00:00,23/03/2013 00:00,1633086.59,0,0,1,9
142,413,1,30/12/2011 00:00,30/12/2011 00:00,25/02/2012 00:00,240977.75,0,0,1,532
42,157,1,01/09/2011 00:00,01/09/2011 00:00,17/09/2011 00:00,254304.11,0,0,1,231
4,5,1,30/03/2011 00:00,30/03/2011 00:00,05/04/2011 00:00,500000,0,0,1,6
44,185,1,02/07/2011 00:00,02/07/2011 00:00,17/07/2011 00:00,175664.6,0,0,1,171
66,242,1,15/10/2011 00:00,15/10/2011 00:00,02/11/2011 00:00,40017.85,0,0,1,323
72,376,1,09/12/2011 00:00,09/12/2011 00:00,22/01/2012 00:00,618957.58,0,0,1,487
146,443,1,08/06/2012 00:00,08/06/2012 00:00,20/06/2012 00:00,68131.34,0,0,1,568
71,257,1,05/12/2011 00:00,05/12/2011 00:00,30/12/2011 00:00,307820.05,0,0,1,
118,325,1,20/02/2012 00:00,20/02/2012 00:00,04/03/2012 00:00,2198645.99,0,0,1,426
88,284,1,25/10/2011 00:00,25/10/2011 00:00,30/10/2011 00:00,14959.07,0,0,1,385
103,199,1,10/09/2011 00:00,10/09/2011 00:00,30/09/2011 00:00,115995.43,0,0,1,272
101,83,1,23/01/2012 00:00,23/01/2012 00:00,01/04/2012 00:00,510108.63,0,0,1,124
116,429,1,23/02/2012 00:00,23/02/2012 00:00,29/02/2012 00:00,126964.19,0,0,1,549
15,52,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,285653.43,0,0,1,87
5,40,1,08/06/2011 00:00,08/06/2011 00:00,18/06/2011 00:00,54333.05,0,0,1,54
2,28,1,27/04/2011 00:00,27/04/2011 00:00,30/04/2011 00:00,82277.12,0,0,1,30
130,484,1,26/03/2012 00:00,26/03/2012 00:00,08/04/2012 00:00,40316.32,0,0,1,596
68,306,1,03/12/2011 00:00,03/12/2011 00:00,13/12/2011 00:00,192265.89,0,0,1,398
80,241,1,18/09/2011 00:00,18/09/2011 00:00,01/10/2011 00:00,68099.25,0,0,1,321
132,482,1,29/03/2012 00:00,29/03/2012 00:00,08/06/2012 00:00,149955.76,0,0,1,632
102,248,1,09/02/2012 00:00,09/02/2012 00:00,04/03/2012 00:00,323055.21,0,0,1,326
8,61,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,245719.74,0,0,1,101
140,490,1,30/12/2011 00:00,30/12/2011 00:00,19/06/2012 00:00,201936.62,0,0,1,630
20,53,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,317195.41,0,0,1,89
14,51,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,302836.28,0,0,1,85
122,463,1,13/03/2012 00:00,13/03/2012 00:00,07/05/2012 00:00,204456.93,0,0,1,
79,133,1,21/12/2011 00:00,21/12/2011 00:00,15/02/2012 00:00,1812034.41,30,543610.32,1,208
12,67,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,304780.72,0,0,1,71
110,393,1,17/02/2012 00:00,17/02/2012 00:00,26/02/2012 00:00,388389.03,0,0,1,510
131,493,1,26/03/2012 00:00,26/03/2012 00:00,15/04/2012 00:00,246109.53,0,0,1,602
64,293,1,30/11/2011 00:00,30/11/2011 00:00,25/12/2011 00:00,363684.59,0,0,1,360
115,405,1,20/02/2012 00:00,20/02/2012 00:00,10/03/2012 00:00,408650,0,0,1,522
139,501,1,02/05/2012 00:00,02/05/2012 00:00,26/05/2012 00:00,228029.78,0,0,1,640
120,487,1,12/03/2012 00:00,12/03/2012 00:00,31/03/2012 00:00,249439.93,0,0,1,627
27,57,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,317914.43,0,0,1,59
148,502,1,14/04/2012 00:00,14/04/2012 00:00,30/04/2012 00:00,56960.03,0,0,1,643
104,237,1,10/12/2011 00:00,10/12/2011 00:00,18/12/2011 00:00,110447.5,0,0,1,312
9,59,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,333042.22,0,0,1,81
86,335,1,30/11/2011 00:00,30/11/2011 00:00,31/12/2011 00:00,85485.64,0,0,1,446
141,420,1,30/12/2011 00:00,30/12/2011 00:00,24/03/2012 00:00,503383.37,0,0,1,530
54,315,1,03/11/2011 00:00,03/11/2011 00:00,30/12/2011 00:00,1046110.15,0,0,1,411
133,340,1,09/11/2011 00:00,09/11/2011 00:00,12/11/2011 00:00,168914.91,0,0,1,463
23,46,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,405374.06,0,0,1,103
69,311,1,30/11/2011 00:00,30/11/2011 00:00,30/12/2011 00:00,100763.92,0,0,1,404
65,244,1,18/11/2011 00:00,18/11/2011 00:00,30/12/2011 00:00,637717.44,0,0,1,332
128,445,1,05/03/2012 00:00,05/03/2012 00:00,20/05/2012 00:00,242502.95,0,0,1,574
59,202,1,10/11/2011 00:00,10/11/2011 00:00,21/12/2011 00:00,310000,0,0,1,239
82,295,1,21/12/2011 00:00,21/12/2011 00:00,31/12/2011 00:00,157074.57,0,0,1,362
28,58,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,319381.41,0,0,1,61
127,444,1,26/03/2012 00:00,26/03/2012 00:00,29/04/2012 00:00,371927.03,0,0,1,572
113,254,1,10/11/2011 00:00,10/11/2011 00:00,27/11/2011 00:00,146065.33,0,0,1,343
37,134,1,01/09/2011 00:00,01/09/2011 00:00,30/09/2011 00:00,242888.66,0,0,1,215
91,392,1,30/12/2011 00:00,30/12/2011 00:00,31/01/2012 00:00,901151.16,0,0,1,506
98,252,1,15/10/2011 00:00,15/10/2011 00:00,29/10/2011 00:00,42297.38,0,0,1,
111,226,1,06/11/2011 00:00,06/11/2011 00:00,30/11/2011 00:00,392855.69,0,0,1,298
48,78,1,04/10/2011 00:00,04/10/2011 00:00,27/11/2011 00:00,1615187.45,30,484556.23,1,139
61,104,1,03/10/2011 00:00,03/10/2011 00:00,13/11/2011 00:00,246709.95,0,0,1,155
107,367,1,23/01/2012 00:00,23/01/2012 00:00,10/02/2012 00:00,322229,0,0,1,476
123,457,1,13/02/2012 00:00,13/02/2012 00:00,25/02/2012 00:00,377105.69,0,0,1,589
13,65,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,577126.45,0,0,1,69
96,330,1,01/12/2011 00:00,01/12/2011 00:00,10/12/2011 00:00,54476.8,0,0,1,431
84,400,1,19/12/2011 00:00,19/12/2011 00:00,31/12/2011 00:00,603984.4,0,0,1,513
62,223,1,02/12/2011 00:00,02/12/2011 00:00,28/12/2011 00:00,4000000,35,1400000.17,1,302
121,434,1,10/02/2012 00:00,10/02/2012 00:00,18/02/2012 00:00,55554.34,0,0,1,554
21,54,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,289027.33,0,0,1,91
126,341,1,15/12/2011 00:00,15/12/2011 00:00,30/12/2011 00:00,65906.74,0,0,1,448
7,139,1,11/07/2011 00:00,11/07/2011 00:00,29/07/2011 00:00,165398.52,0,0,1,135
57,175,1,02/08/2011 00:00,02/08/2011 00:00,27/08/2011 00:00,422222.65,0,0,1,246
125,415,1,10/01/2012 00:00,10/01/2012 00:00,28/01/2012 00:00,101893.58,0,0,1,539
76,332,1,20/11/2011 00:00,20/11/2011 00:00,30/11/2011 00:00,87541.56,0,0,1,434
25,68,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,330313.99,0,0,1,83
38,100,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,321369.18,0,0,1,113
99,80,1,03/10/2011 00:00,03/10/2011 00:00,31/10/2011 00:00,210636.35,0,0,1,65
47,32,1,20/06/2011 00:00,20/06/2011 00:00,09/07/2011 00:00,211967.45,0,0,1,
150,488,1,30/05/2012 00:00,30/05/2012 00:00,08/06/2012 00:00,523340.5,0,0,1,634
83,370,1,19/12/2011 00:00,19/12/2011 00:00,30/12/2011 00:00,259704.19,0,0,1,481
108,118,1,30/01/2012 00:00,30/01/2012 00:00,29/02/2012 00:00,3832547.25,30,1149764.18,1,196
63,365,1,30/11/2011 00:00,30/11/2011 00:00,30/12/2011 00:00,206198.74,0,0,1,483
117,406,1,19/01/2012 00:00,19/01/2012 00:00,26/01/2012 00:00,76966.17,0,0,1,519
137,417,1,12/03/2012 00:00,12/03/2012 00:00,18/03/2012 00:00,183487.29,0,0,1,537
143,448,1,25/04/2012 00:00,25/04/2012 00:00,30/04/2012 00:00,143339.27,0,0,1,579
41,120,1,02/01/2011 00:00,02/01/2011 00:00,28/09/2011 00:00,52772.73,0,0,1,192
51,224,1,02/01/2011 00:00,02/01/2011 00:00,15/10/2011 00:00,119281.09,0,0,1,305
147,449,1,30/12/2011 00:00,30/12/2011 00:00,03/03/2012 00:00,13684.53,0,0,1,584
31,63,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,366470.74,0,0,1,109
77,337,1,05/12/2011 00:00,05/12/2011 00:00,11/12/2011 00:00,31498.06,0,0,1,440
93,299,1,09/12/2011 00:00,09/12/2011 00:00,30/12/2011 00:00,46361.53,0,0,1,350
24,72,1,18/07/2011 00:00,18/07/2011 00:00,30/07/2011 00:00,72499.35,0,0,1,34
75,167,1,21/12/2011 00:00,21/12/2011 00:00,26/12/2011 00:00,199922.3,0,0,1,241
145,393,2,02/05/2012 00:00,02/05/2012 00:00,06/05/2012 00:00,147912.69,0,0,1,511
11,47,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,333554.47,0,0,1,111
60,297,1,02/12/2011 00:00,02/12/2011 00:00,30/12/2011 00:00,1894245.08,0,0,1,364
100,81,1,23/01/2012 00:00,23/01/2012 00:00,01/04/2012 00:00,395700.49,0,0,1,67
55,247,1,10/09/2011 00:00,10/09/2011 00:00,17/09/2011 00:00,65057.52,0,0,1,340
112,329,1,23/12/2011 00:00,23/12/2011 00:00,30/12/2011 00:00,32679.75,0,0,1,442
3,25,1,14/04/2011 00:00,14/04/2011 00:00,18/04/2011 00:00,40000,0,0,1,28
33,82,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,310730.78,0,0,1,93
46,176,1,01/08/2011 00:00,01/08/2011 00:00,13/08/2011 00:00,163959.87,0,0,1,
58,227,1,06/11/2011 00:00,06/11/2011 00:00,06/11/2011 00:00,262457.66,0,0,1,300
153,13,1,04/03/2013 00:00,04/03/2013 00:00,11/02/2012 00:00,1772113.08,0,0,1,8
26,62,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,317637.32,0,0,1,63
45,127,1,09/07/2011 00:00,09/07/2011 00:00,24/07/2011 00:00,73412.78,0,0,1,181
43,158,1,01/09/2011 00:00,01/09/2011 00:00,10/09/2011 00:00,213652.48,0,0,1,233
36,12,1,09/09/2011 00:00,09/09/2011 00:00,30/10/2011 00:00,377539.9,70,264277.93,1,22
138,494,1,26/04/2012 00:00,26/04/2012 00:00,05/05/2012 00:00,194014.49,30,58204.35,1,604
152,483,2,03/09/2012 00:00,03/09/2012 00:00,15/09/2012 00:00,622291.28,0,0,1,
89,111,1,30/12/2011 00:00,30/12/2011 00:00,09/03/2012 00:00,2904464.48,30,871339.34,1,204
53,39,1,04/10/2011 00:00,04/10/2011 00:00,04/12/2011 00:00,105018.34,0,0,1,50
135,294,1,01/02/2012 00:00,01/02/2012 00:00,05/02/2012 00:00,485449.63,0,0,1,417
106,124,1,02/02/2012 00:00,02/02/2012 00:00,10/02/2012 00:00,75805.97,0,0,1,194
30,70,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,254977.65,0,0,1,105
151,483,1,07/07/2012 00:00,07/07/2012 00:00,20/07/2012 00:00,2000000,0,0,1,637
87,431,1,30/12/2011 00:00,30/12/2011 00:00,06/01/2012 00:00,1611919.3,0,0,1,581
50,103,1,03/10/2011 00:00,03/10/2011 00:00,31/10/2011 00:00,2601344.11,0,0,1,160
18,50,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,305936.73,0,0,1,77
119,479,1,09/03/2012 00:00,09/03/2012 00:00,30/04/2012 00:00,246506.57,0,0,1,624
114,361,1,20/02/2012 00:00,20/02/2012 00:00,29/02/2012 00:00,255061.16,0,0,1,478
92,298,1,09/12/2011 00:00,09/12/2011 00:00,30/12/2011 00:00,3735.68,0,0,1,348
81,382,1,21/12/2011 00:00,21/12/2011 00:00,31/12/2011 00:00,144262.84,0,0,1,501
85,216,1,24/09/2011 00:00,24/09/2011 00:00,16/10/2011 00:00,52000,0,0,1,291
90,145,2,14/11/2011 00:00,14/11/2011 00:00,31/12/2011 00:00,1143914.56,0,0,1,163
10,56,1,01/07/2011 00:00,01/07/2011 00:00,31/10/2011 00:00,265234.93,0,0,1,99
52,260,1,25/10/2011 00:00,25/10/2011 00:00,10/12/2011 00:00,194956.15,0,0,1,356
95,381,1,30/12/2011 00:00,30/12/2011 00:00,28/01/2012 00:00,556537.33,0,0,1,
70,312,1,30/11/2011 00:00,30/11/2011 00:00,30/12/2011 00:00,216585.98,0,0,1,406
74,305,1,29/10/2011 00:00,29/10/2011 00:00,30/10/2011 00:00,82221.78,0,0,1,396
78,192,1,03/10/2011 00:00,03/10/2011 00:00,16/10/2011 00:00,28901.68,0,0,1,261
129,453,1,17/03/2012 00:00,17/03/2012 00:00,05/04/2012 00:00,324323.67,0,0,1,586
149,491,1,13/05/2012 00:00,13/05/2012 00:00,13/05/2012 00:00,0.02,0,0,1,
124,359,1,01/03/2012 00:00,01/03/2012 00:00,10/03/2012 00:00,8275844.29,30,2482753.29,1,473
