Id_Contrato_Ampliacion,Id_Contrato,Numero_Ampliacion,Fecha_Firma_Ampliacion,Fecha_Inicio,Fecha_Termino,Importe,Porcentaje_Anticipo,Importe_Anticipo,Id_Formato_Ampliacion
1,98,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,165467.5,0,0,1
2,81,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,130217.47,0,0,1
3,106,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,224322.93,0,0,1
4,108,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,270006.33,30,81001.9,1
5,100,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,145252.28,0,0,1
6,94,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,151649.58,0,0,1
7,103,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,221665,0,0,1
8,92,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,201122.93,0,0,1
9,99,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,154746.46,0,0,1
10,104,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,152206.2,0,0,1
11,110,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,134428.03,0,0,1
12,113,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,203948.79,0,0,1
13,118,1,01/07/2017 00:00,03/04/2017 00:00,29/07/2017 00:00,146623.4,0,0,1
14,112,1,01/07/2017 00:00,02/07/2017 00:00,29/07/2017 00:00,153867.5,0,0,1
15,92,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,389886.6,0,0,1
16,99,2,28/08/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,269879.53,0,0,1
17,108,2,31/08/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,268214.25,30,80464.27,1
18,94,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,278571.56,0,0,1
19,100,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,264177.62,0,0,1
20,98,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,299221.88,0,0,1
21,81,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,266889.31,0,0,1
22,104,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,279823.95,0,0,1
23,106,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,452268.22,0,0,1
24,103,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,383906.15,0,0,1
25,110,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,255482.88,0,0,1
26,113,2,22/09/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,317944.77,0,0,1
27,112,2,28/07/2017 00:00,03/04/2017 00:00,30/09/2017 00:00,299221.88,0,0,1
28,134,1,30/09/2017 00:00,20/06/2017 00:00,18/11/2017 00:00,1199999.45,30,359999.83,1
29,338,1,29/09/2017 00:00,20/09/2017 00:00,04/10/2017 00:00,18431.72,0,0,1
30,337,1,30/09/2017 00:00,20/09/2017 00:00,04/10/2017 00:00,4171.53,0,0,1
31,118,2,28/07/2017 00:00,03/03/2017 00:00,30/09/2017 00:00,277702.64,0,0,1
32,66,1,19/07/2017 00:00,19/05/2017 00:00,24/09/2017 00:00,558292,0,0,1
33,19,1,18/09/2017 00:00,23/03/2017 00:00,28/10/2017 00:00,3498900.2,30,1049670.06,1
34,208,1,12/09/2017 00:00,25/07/2017 00:00,26/11/2017 00:00,4000000,30,1200000,1
35,40,1,18/10/2017 00:00,01/05/2017 00:00,05/11/2017 00:00,2495846.11,30,748753.83,1
36,189,1,26/10/2017 00:00,13/07/2017 00:00,09/11/2017 00:00,348734.53,0,0,1
37,30,1,12/09/2017 00:00,24/04/2017 00:00,10/11/2017 00:00,2487452.51,30,746235.75,1
38,311,1,28/10/2017 00:00,29/10/2017 00:00,15/12/2017 00:00,336628.82,0,0,1
39,94,3,30/09/2017 00:00,03/04/2017 00:00,21/12/2017 00:00,402381.15,0,0,1
40,100,3,30/09/2017 00:00,03/04/2017 00:00,21/12/2017 00:00,381589.9,0,0,1
41,99,3,30/09/2017 00:00,03/04/2017 00:00,21/12/2017 00:00,389825.99,0,0,1
42,104,3,30/09/2017 00:00,03/04/2017 00:00,21/12/2017 00:00,404190.14,0,0,1
43,92,3,10/11/2017 00:00,01/10/2017 00:00,09/12/2017 00:00,433207.34,0,0,1
44,106,3,30/09/2017 00:00,03/04/2017 00:00,25/11/2017 00:00,346565.68,0,0,1
45,203,1,25/09/2017 00:00,18/07/2017 00:00,02/11/2017 00:00,221054.54,0,0,1
46,98,3,30/09/2017 00:00,01/10/2017 00:00,21/12/2017 00:00,432209.39,0,0,1
47,81,3,16/11/2017 00:00,01/10/2017 00:00,21/12/2017 00:00,385506.78,0,0,1
48,113,3,16/11/2017 00:00,01/10/2017 00:00,21/12/2017 00:00,459253.56,0,0,1
49,108,3,30/09/2017 00:00,01/10/2017 00:00,21/12/2017 00:00,387420.58,30,116226.17,1
50,268,1,02/10/2017 00:00,27/07/2017 00:00,02/11/2017 00:00,565041.23,0,0,1
51,172,1,17/11/2017 00:00,15/06/2017 00:00,28/10/2017 00:00,1286497.33,30,385949.19,1
52,110,3,30/09/2017 00:00,03/04/2017 00:00,21/12/2017 00:00,369030.82,0,0,1
53,118,3,30/09/2017 00:00,03/04/2017 00:00,21/12/2017 00:00,401126.04,0,0,1
54,112,3,30/09/2017 00:00,03/04/2017 00:00,21/12/2017 00:00,432209.39,0,0,1
55,103,3,30/09/2017 00:00,03/04/2017 00:00,09/12/2017 00:00,426562.39,0,0,1
56,275,1,26/09/2017 00:00,31/08/2017 00:00,31/10/2017 00:00,42969.85,0,0,1
57,250,1,13/12/2017 00:00,05/11/2017 00:00,21/12/2017 00:00,155163.71,0,0,1
58,225,1,27/11/2017 00:00,27/07/2017 00:00,23/12/2017 00:00,1376058.74,30,412817.62,1
59,129,1,27/11/2017 00:00,24/04/2017 00:00,31/07/2017 00:00,28199.06,0,0,1
60,333,1,23/11/2017 00:00,15/09/2017 00:00,21/12/2017 00:00,583857.67,0,0,1
61,398,1,23/11/2017 00:00,25/09/2017 00:00,30/12/2017 00:00,267765.24,0,0,1
62,327,1,23/11/2017 00:00,27/09/2017 00:00,05/01/2018 00:00,350298.4,0,0,1
63,391,1,15/09/2017 00:00,05/06/2017 00:00,14/10/2017 00:00,878935.27,0,0,1
64,305,1,23/11/2017 00:00,20/09/2017 00:00,29/12/2017 00:00,301302.21,0,0,1
66,294,1,02/10/2017 00:00,24/07/2017 00:00,06/10/2017 00:00,156045.98,0,0,1
67,286,1,18/11/2017 00:00,05/09/2017 00:00,14/12/2017 00:00,1077438.17,0,0,1
68,358,1,13/11/2017 00:00,01/09/2017 00:00,08/12/2017 00:00,846971.71,0,0,1
69,179,1,10/11/2017 00:00,16/10/2017 00:00,15/11/2017 00:00,346717.16,0,0,1
71,142,1,28/07/2017 00:00,12/06/2017 00:00,05/08/2017 00:00,82000.27,0,0,1
72,285,1,23/11/2017 00:00,07/08/2017 00:00,25/12/2017 00:00,1331774.97,0,0,1
73,488,1,23/11/2017 00:00,18/10/2017 00:00,28/12/2017 00:00,274870.75,30,82461.23,1
74,272,1,23/11/2017 00:00,14/08/2017 00:00,15/01/2018 00:00,786206.53,0,0,1
75,258,1,23/11/2017 00:00,24/07/2017 00:00,30/12/2017 00:00,565000,30,169500,1
76,302,1,23/11/2017 00:00,08/09/2017 00:00,16/12/2017 00:00,817973.96,50,408986.98,1
77,292,1,18/11/2017 00:00,01/09/2017 00:00,10/12/2017 00:00,974972.77,0,0,1
78,318,1,22/11/2017 00:00,15/09/2017 00:00,19/12/2017 00:00,758588.92,50,379294.46,1
79,234,1,01/09/2017 00:00,15/07/2017 00:00,07/09/2017 00:00,142499.89,0,0,1
80,324,1,23/11/2017 00:00,28/09/2017 00:00,06/01/2018 00:00,1155766.32,0,0,1
81,412,1,27/11/2017 00:00,31/10/2017 00:00,12/12/2017 00:00,110197.08,0,0,1
82,448,1,23/11/2017 00:00,13/11/2017 00:00,30/12/2017 00:00,361919.01,50,180959.5,1
83,246,1,11/12/2017 00:00,22/11/2017 00:00,31/12/2017 00:00,196757.02,0,0,1
84,367,1,11/12/2017 00:00,14/10/2017 00:00,01/02/2018 00:00,84840.33,0,0,1
85,410,1,23/11/2017 00:00,20/10/2017 00:00,26/01/2018 00:00,68868.04,0,0,1
86,365,1,23/11/2017 00:00,12/10/2017 00:00,08/01/2018 00:00,570017.39,0,0,1
87,491,1,23/11/2017 00:00,15/11/2017 00:00,10/03/2018 00:00,3206922.69,30,961176.81,1
88,315,1,23/11/2017 00:00,16/09/2017 00:00,21/12/2017 00:00,1112489.48,0,0,1
89,397,1,13/12/2017 00:00,21/09/2017 00:00,22/12/2017 00:00,88923.57,0,0,1
90,539,1,23/11/2017 00:00,09/11/2017 00:00,27/01/2018 00:00,26681.45,0,0,1
91,249,1,23/11/2017 00:00,10/08/2017 00:00,26/12/2017 00:00,5639296.77,30,1691789.03,1
92,311,2,15/12/2017 00:00,24/07/2017 00:00,20/12/2017 00:00,266915.74,0,0,1
93,356,1,23/11/2017 00:00,31/08/2017 00:00,12/12/2017 00:00,273223.3,0,0,1
94,559,1,23/11/2017 00:00,10/10/2017 00:00,16/12/2017 00:00,338947.16,0,0,1
95,287,1,21/12/2017 00:00,24/07/2017 00:00,30/12/2017 00:00,474837.55,0,0,1
96,532,1,23/11/2017 00:00,24/11/2017 00:00,10/02/2018 00:00,1081396.66,30,324419,1
97,534,1,23/11/2017 00:00,24/11/2017 00:00,17/02/2018 00:00,719630.48,30,215889.14,1
98,484,1,29/11/2017 00:00,14/11/2017 00:00,07/02/2018 00:00,128497,0,0,1
99,483,1,29/11/2017 00:00,14/11/2017 00:00,07/02/2018 00:00,111956.12,0,0,1
100,329,1,03/01/2018 00:00,22/09/2017 00:00,20/01/2018 00:00,141588.64,0,0,1
101,208,2,15/11/2017 00:00,25/07/2017 00:00,26/11/2017 00:00,1148449.86,0,0,1
102,364,1,23/11/2017 00:00,11/10/2017 00:00,01/02/2018 00:00,79337.54,0,0,1
103,146,1,22/10/2017 00:00,27/06/2017 00:00,22/11/2017 00:00,686316.98,0,0,1
104,316,1,23/11/2017 00:00,13/09/2017 00:00,11/01/2018 00:00,141588.64,0,0,1
105,195,1,13/11/2017 00:00,13/07/2017 00:00,15/11/2017 00:00,184000,0,0,1
106,195,2,23/11/2017 00:00,13/07/2017 00:00,27/11/2017 00:00,60021.98,0,0,1
107,419,1,01/12/2017 00:00,03/11/2017 00:00,11/03/2018 00:00,1221895.71,0,0,1
108,437,1,23/11/2017 00:00,03/11/2017 00:00,07/02/2018 00:00,415884.53,0,0,1
109,407,1,23/11/2017 00:00,24/10/2017 00:00,23/01/2018 00:00,1888229.32,0,0,1
110,401,1,23/11/2017 00:00,31/10/2017 00:00,26/01/2018 00:00,508726.25,0,0,1
111,497,1,23/11/2017 00:00,01/11/2017 00:00,27/01/2018 00:00,560699.53,0,0,1
112,393,1,04/12/2017 00:00,08/11/2017 00:00,01/02/2018 00:00,247389.85,0,0,1
113,382,1,23/11/2017 00:00,19/10/2017 00:00,19/01/2018 00:00,6016316.62,0,0,1
114,170,1,13/11/2017 00:00,07/07/2017 00:00,09/12/2017 00:00,2092429.38,0,0,1
115,193,1,20/09/2017 00:00,13/07/2017 00:00,10/11/2017 00:00,928189.79,0,0,1
116,443,1,23/11/2017 00:00,27/10/2017 00:00,26/01/2018 00:00,947808.73,0,0,1
117,406,1,01/12/2017 00:00,24/10/2017 00:00,31/12/2017 00:00,564127.5,0,0,1
118,211,1,13/11/2017 00:00,31/07/2017 00:00,10/12/2017 00:00,1144309.21,0,0,1
119,385,1,23/11/2017 00:00,19/10/2017 00:00,23/11/2017 00:00,477307.31,0,0,1
120,400,1,23/11/2017 00:00,19/10/2017 00:00,03/02/2018 00:00,529520.86,0,0,1
121,240,1,01/12/2017 00:00,31/07/2017 00:00,11/12/2017 00:00,545180.52,0,0,1
122,205,1,18/10/2017 00:00,17/07/2017 00:00,27/10/2017 00:00,1498994.01,0,0,1
123,436,1,23/11/2017 00:00,07/11/2017 00:00,31/12/2017 00:00,269465.49,0,0,1
124,428,1,01/12/2017 00:00,23/10/2017 00:00,31/12/2017 00:00,391353.49,0,0,1
125,421,1,23/11/2017 00:00,27/10/2017 00:00,22/01/2018 00:00,360229.27,0,0,1
126,441,1,23/11/2017 00:00,27/10/2017 00:00,19/01/2018 00:00,425401.35,0,0,1
127,442,1,23/11/2017 00:00,27/10/2017 00:00,19/01/2018 00:00,729336.77,0,0,1
128,323,1,23/11/2017 00:00,07/08/2017 00:00,31/12/2017 00:00,713328.56,0,0,1
129,335,1,23/11/2017 00:00,04/08/2017 00:00,31/12/2017 00:00,617481.3,0,0,1
130,182,1,06/11/2017 00:00,13/07/2017 00:00,22/11/2017 00:00,1089009.38,0,0,1
131,167,1,23/11/2017 00:00,07/07/2017 00:00,11/12/2017 00:00,664878.54,0,0,1
132,430,1,23/11/2017 00:00,25/10/2017 00:00,22/01/2018 00:00,585599.76,0,0,1
133,435,1,01/12/2017 00:00,05/10/2017 00:00,31/12/2017 00:00,541922.92,0,0,1
134,422,1,23/11/2017 00:00,24/10/2017 00:00,23/01/2018 00:00,1996699.65,0,0,1
135,450,1,01/12/2017 00:00,03/11/2017 00:00,28/12/2017 00:00,360822.25,0,0,1
136,304,1,23/12/2017 00:00,07/09/2017 00:00,12/01/2018 00:00,293432.1,0,0,1
137,325,1,01/12/2017 00:00,12/09/2017 00:00,31/01/2018 00:00,549840.35,0,0,1
138,267,1,28/10/2017 00:00,24/07/2017 00:00,11/11/2017 00:00,64789.64,0,0,1
139,469,1,01/12/2017 00:00,09/11/2017 00:00,03/03/2018 00:00,973802.61,0,0,1
140,470,1,01/12/2017 00:00,09/11/2017 00:00,03/03/2018 00:00,219382.2,0,0,1
141,453,1,23/11/2017 00:00,23/10/2017 00:00,30/12/2017 00:00,486667.16,0,0,1
142,465,1,23/11/2017 00:00,09/11/2017 00:00,04/02/2018 00:00,64000,0,0,1
143,466,1,23/11/2017 00:00,09/11/2017 00:00,04/02/2018 00:00,269013.53,0,0,1
144,638,1,01/12/2017 00:00,21/11/2017 00:00,15/03/2018 00:00,923245.54,0,0,1
145,643,1,01/12/2017 00:00,21/11/2017 00:00,15/03/2018 00:00,1285775.21,0,0,1
146,458,1,23/11/2017 00:00,13/11/2017 00:00,30/12/2017 00:00,395545,50,197772.49,1
149,275,2,29/10/2017 00:00,31/08/2017 00:00,08/12/2017 00:00,29838.83,0,0,1
150,645,1,01/12/2017 00:00,24/11/2017 00:00,10/03/2018 00:00,503430.78,0,0,1
151,607,1,26/12/2017 00:00,02/01/2018 00:00,26/05/2018 00:00,1079500.02,0,0,1
152,504,1,21/12/2017 00:00,30/10/2017 00:00,23/12/2017 00:00,28881,0,0,1
153,545,1,23/11/2017 00:00,01/12/2017 00:00,28/02/2018 00:00,840570.73,0,0,1
154,386,1,23/11/2017 00:00,19/10/2017 00:00,20/01/2018 00:00,972280.97,0,0,1
155,242,1,16/11/2017 00:00,31/07/2017 00:00,16/11/2017 00:00,41227.91,0,0,1
156,535,1,14/12/2017 00:00,30/11/2017 00:00,27/01/2018 00:00,468299.87,30,140489.96,1
157,186,1,10/10/2017 00:00,13/07/2017 00:00,19/12/2017 00:00,451287.33,0,0,1
158,329,2,27/12/2017 00:00,22/09/2017 00:00,20/01/2018 00:00,72438.33,0,0,1
159,316,2,27/12/2017 00:00,13/09/2017 00:00,11/01/2018 00:00,72438.33,0,0,1
160,588,1,27/12/2017 00:00,21/12/2017 00:00,23/02/2018 00:00,591532.37,30,177459.72,1
161,467,1,23/11/2017 00:00,27/10/2017 00:00,24/01/2018 00:00,999983.34,0,0,1
162,185,1,09/11/2017 00:00,12/07/2017 00:00,30/11/2017 00:00,910444.75,0,0,1
163,204,1,23/11/2017 00:00,13/07/2017 00:00,23/12/2017 00:00,1254861.25,0,0,1
164,230,1,23/11/2017 00:00,29/07/2017 00:00,31/12/2017 00:00,5197054.54,0,0,1
165,420,1,01/12/2017 00:00,06/11/2017 00:00,29/12/2017 00:00,536342.51,0,0,1
166,553,1,23/11/2017 00:00,23/10/2017 00:00,22/01/2018 00:00,5704639.88,0,0,1
167,636,1,01/12/2017 00:00,06/11/2017 00:00,28/02/2018 00:00,659473.43,0,0,1
168,472,1,23/11/2017 00:00,26/10/2017 00:00,10/01/2018 00:00,160000,0,0,1
169,622,1,01/12/2017 00:00,27/12/2017 00:00,28/02/2018 00:00,366896.65,0,0,1
170,475,1,23/11/2017 00:00,28/10/2017 00:00,23/01/2018 00:00,75714.72,0,0,1
171,474,1,23/11/2017 00:00,28/10/2017 00:00,23/11/2017 00:00,357359.6,0,0,1
172,473,1,23/11/2017 00:00,28/10/2017 00:00,23/01/2018 00:00,454740.16,0,0,1
173,477,1,23/11/2017 00:00,30/10/2017 00:00,13/01/2018 00:00,265689.79,50,132844.89,1
174,456,1,19/02/2018 00:00,15/11/2017 00:00,28/02/2018 00:00,96307.49,0,0,1
175,506,1,25/02/2018 00:00,18/09/2017 00:00,20/12/2017 00:00,899857.73,50,449928.87,1
176,373,1,16/10/2016 00:00,22/05/2017 00:00,31/01/2018 00:00,300294.35,0,0,1
177,405,1,23/11/2017 00:00,02/10/2017 00:00,30/12/2017 00:00,64567.51,0,0,1
178,549,1,23/11/2017 00:00,07/12/2017 00:00,15/12/2017 00:00,470000,50,235000,1
179,701,1,23/11/2017 00:00,25/10/2017 00:00,20/01/2018 00:00,1762715.55,30,528814.66,1
180,365,2,19/02/2018 00:00,12/10/2017 00:00,01/04/2018 00:00,2855855.27,50,1427927.64,1
181,410,2,04/03/2018 00:00,20/10/2017 00:00,16/03/2018 00:00,1714402.56,50,857201.28,1
182,226,1,14/10/2017 00:00,05/08/2017 00:00,17/12/2017 00:00,220427.05,0,0,1
183,199,1,16/09/2017 00:00,17/07/2017 00:00,07/10/2017 00:00,10082.51,0,0,1
184,525,1,01/02/2018 00:00,02/11/2017 00:00,28/02/2018 00:00,649999.85,30,194999.96,1
185,373,2,26/02/2018 00:00,22/05/2017 00:00,30/04/2018 00:00,110265.32,0,0,1
186,480,1,01/02/2018 00:00,10/11/2017 00:00,18/03/2018 00:00,399490.49,30,119847.14,1
187,492,1,08/01/2018 00:00,28/11/2017 00:00,23/01/2018 00:00,56691.99,0,0,1
188,416,1,29/01/2018 00:00,20/10/2017 00:00,08/02/2018 00:00,45833.02,0,0,1
189,402,1,02/01/2018 00:00,31/10/2017 00:00,31/03/2018 00:00,157188.11,0,0,1
190,230,2,26/12/2017 00:00,29/07/2017 00:00,31/12/2017 00:00,183603.35,0,0,1
191,349,1,08/01/2018 00:00,06/10/2017 00:00,10/02/2018 00:00,591659.14,30,177497.74,1
192,493,1,19/02/2018 00:00,25/10/2017 00:00,06/04/2018 00:00,575174.04,50,287587.01,1
193,31,1,26/04/2018 00:00,29/04/2018 00:00,04/07/2018 00:00,2000000,30,600000,1
194,145,1,23/03/2018 00:00,19/06/2017 00:00,02/04/2018 00:00,478966.19,0,0,1
195,463,1,13/02/2018 00:00,13/11/2017 00:00,24/02/2018 00:00,103849.05,0,0,1
196,525,2,16/03/2018 00:00,02/11/2017 00:00,17/03/2018 00:00,105577.64,0,0,1
197,564,1,23/03/2018 00:00,23/12/2017 00:00,28/03/2018 00:00,127782,0,0,1
198,587,1,20/03/2018 00:00,21/12/2017 00:00,04/05/2018 00:00,415423.51,30,124627.05,1
199,628,1,23/04/2018 00:00,11/01/2018 00:00,04/05/2018 00:00,334185.5,0,0,1
200,731,1,23/04/2018 00:00,09/01/2018 00:00,13/05/2018 00:00,164836.93,0,0,1
201,709,1,23/03/2018 00:00,13/02/2018 00:00,24/03/2018 00:00,189239.85,0,0,1
202,225,2,09/02/2018 00:00,27/07/2017 00:00,14/04/2018 00:00,1490429.83,0,0,1
203,246,2,12/06/2018 00:00,01/08/2017 00:00,31/12/2017 00:00,77638.17,0,0,1
204,670,1,16/06/2018 00:00,10/02/2018 00:00,15/07/2018 00:00,668980.77,30,200694.23,1
205,727,1,04/05/2018 00:00,06/11/2017 00:00,29/06/2018 00:00,145354.43,0,0,1
206,758,1,02/03/2018 00:00,02/01/2018 00:00,05/04/2018 00:00,193256.98,0,0,1
207,746,1,21/05/2018 00:00,19/02/2018 00:00,11/06/2018 00:00,728328.5,0,0,1
208,756,1,30/04/2018 00:00,08/03/2018 00:00,10/06/2018 00:00,158209.63,0,0,1
209,755,1,18/05/2018 00:00,12/02/2018 00:00,19/05/2018 00:00,304247.84,0,0,1
210,9,1,19/10/2017 00:00,23/03/2017 00:00,14/11/2017 00:00,3826085.26,50,1913042.63,1
211,748,1,08/07/2018 00:00,19/02/2018 00:00,26/05/2018 00:00,380000,50,190000,1
212,661,1,11/05/2018 00:00,03/01/2018 00:00,31/05/2018 00:00,530651,30,159195.3,1
213,597,1,20/04/2018 00:00,15/01/2018 00:00,29/06/2018 00:00,199109.63,0,0,1
214,627,1,01/06/2018 00:00,20/02/2018 00:00,14/07/2018 00:00,200149.2,0,0,1
215,490,1,28/04/2018 00:00,21/11/2017 00:00,12/05/2018 00:00,275991.97,0,0,1
216,249,2,08/07/2018 00:00,10/08/2017 00:00,08/06/2018 00:00,4498924.3,0,0,1
217,137,1,29/01/2018 00:00,12/06/2017 00:00,31/01/2018 00:00,59650.58,0,0,1
218,492,2,22/01/2018 00:00,28/11/2017 00:00,11/03/2018 00:00,174429.32,0,0,1
219,608,1,01/07/2018 00:00,15/01/2018 00:00,10/06/2018 00:00,385488.35,0,0,1
220,677,1,06/02/2018 00:00,11/12/2017 00:00,09/02/2018 00:00,74881.25,0,0,1
221,644,1,29/07/2018 00:00,13/02/2018 00:00,26/05/2018 00:00,179303.83,0,0,1
222,704,1,04/05/2018 00:00,19/02/2018 00:00,18/08/2018 00:00,5223933.47,0,0,1
223,629,1,15/06/2018 00:00,16/02/2018 00:00,16/06/2018 00:00,373630.15,0,0,1
224,754,1,01/12/2017 00:00,11/12/2017 00:00,28/02/2018 00:00,657752.69,0,0,1
225,717,1,25/06/2018 00:00,02/03/2018 00:00,07/07/2018 00:00,309535.7,0,0,1
226,760,1,22/01/2018 00:00,02/01/2018 00:00,31/01/2018 00:00,136781.11,0,0,1
227,335,2,19/08/2018 00:00,04/08/2017 00:00,30/04/2018 00:00,101152.82,0,0,1
228,655,1,17/08/2018 00:00,13/02/2018 00:00,10/09/2018 00:00,752457.04,30,225737.11,1
229,672,1,13/08/2018 00:00,12/02/2018 00:00,25/08/2018 00:00,1814858.81,30,544457.65,1
230,707,1,17/08/2018 00:00,12/02/2018 00:00,30/09/2018 00:00,324999.06,0,0,1
231,733,1,16/07/2018 00:00,19/02/2018 00:00,18/09/2018 00:00,680281.06,0,0,1
232,681,1,06/09/2018 00:00,05/10/2017 00:00,29/12/2018 00:00,99959.93,0,0,1
233,31,2,25/06/2018 00:00,29/04/2017 00:00,04/07/2018 00:00,94942.81,0,0,1
234,225,3,13/04/2018 00:00,27/07/2017 00:00,17/08/2018 00:00,1700385,0,0,1
235,714,1,13/06/2018 00:00,12/02/2018 00:00,18/06/2018 00:00,591166.93,30,177350.07,1
236,723,1,21/09/2018 00:00,26/12/2017 00:00,01/10/2018 00:00,292027.3,0,0,1
237,757,1,14/09/2018 00:00,08/03/2018 00:00,17/12/2018 00:00,930408.59,50,465204.29,1
238,672,2,07/11/2018 00:00,12/02/2018 00:00,08/09/2018 00:00,819295.16,30,245788.56,1
239,225,4,01/10/2018 00:00,27/07/2017 00:00,18/10/2018 00:00,183617.78,0,0,1
240,672,3,21/11/2018 00:00,12/12/2018 00:00,28/02/2019 00:00,1999996.34,0,0,1
