Id_Oficio_Asignacion,Año,Numero_Asignacion,Numero_Oficio_Asignacion,Fecha_Oficio_Asignacion,Id_Contratista,Id_Supervisor_Externo,Id_Supervisor_Interno,Observaciones_Generales,Tipo_Obra_Proyecto,Id_Modalidad,Id_Coordinador,Area
0000000001,2018,DGOP/0001/CONT/2018,DGOP/0001/CONT/2018,2018-02-26 00:00:00,0000000654,0000000447,0000000021,,Proyecto,0000000001,NULL,NULL
0000000004,2018,DGOP/0029/CONT/2018,DGOP/0029/CONT/2018,2018-04-04 00:00:00,0000000529,,0000000021,,Proyecto,0000000001,NULL,NULL
0000000005,2018,DGOP/0520/CONT/2017,DGOP/0520/CONT/2017,2017-11-05 00:00:00,0000000621,,0000000021,,Obra,0000000001,0000000055,Construcción
0000000007,2018,DGOP/0004/OBRA/2018,DGOP/0004/OBRA/2018,2018-02-26 00:00:00,0000000326,0000000309,0000000058,,Obra,0000000003,0000000054,Construcción
0000000009,2018,DGOP/0005/OBRA/2018,DGOP/0005/OBRA/2018,2018-02-26 00:00:00,0000000724,,0000000068,,Obra,0000000001,NULL,NULL
0000000010,2018,DGOP/0006/OBRA/2018,DGOP/0006/OBRA/2018,2018-02-26 00:00:00,0000000457,,0000000068,,Obra,0000000001,NULL,NULL
0000000011,2018,DGOP/0009/CONT/2018,DGOP/0009/CONT/2018,2018-02-26 00:00:00,0000000680,,0000000018,,Obra,0000000001,NULL,NULL
0000000012,2018,DGOP/0012/OBRA/2018,DGOP/0012/OBRA/2018,2018-03-08 00:00:00,0000000505,,0000000068,,Obra,0000000001,NULL,NULL
0000000013,2018,DGOP/0013/OBRA/2018,DGOP/0013/OBRA/2018,2018-03-08 00:00:00,0000000269,,0000000072,,Obra,0000000001,NULL,NULL
0000000014,2018,DGOP/0015/OBRA/2018,DGOP/0015/OBRA/2018,2018-04-19 00:00:00,0000000294,,0000000068,,Obra,0000000001,NULL,NULL
0000000015,2018,DGOP/0017/OBRA/2018,DGOP/0017/OBRA/2018,2018-04-19 00:00:00,0000000522,,0000000069,,Obra,0000000001,NULL,NULL
0000000016,2018,DGOP/0018/OBRA/2018,DGOP/0018/OBRA/2018,2018-03-08 00:00:00,0000000347,,0000000069,,Obra,0000000001,NULL,NULL
0000000017,2018,DGOP/0027/CONT/2018,DGOP/0027/CONT/2018,2018-04-04 00:00:00,0000000151,,0000000021,,Proyecto,0000000001,NULL,NULL
0000000018,2018,DGOP/0028/CONT/2018,DGOP/0028/CONT/2018,2018-04-04 00:00:00,0000000654,,0000000021,,Obra,0000000001,NULL,NULL
0000000020,2018,DGOP/0031/CONT/2018,DGOP/0031/CONT/2018,2018-04-04 00:00:00,0000000653,,0000000075,,Proyecto,0000000001,NULL,NULL
0000000021,2018,DGOP/0033/CONT/2018,DGOP/0033/CONT/2018,2018-04-04 00:00:00,0000000234,,0000000023,,Proyecto,0000000001,0000000055,Construcción
0000000023,2018,DGOP/0022/PROY/2018,DGOP/0022/PROY/2018,2018-03-08 00:00:00,0000000681,,0000000070,,Proyecto,0000000001,NULL,NULL
0000000024,2018,DGOP/0049/PROY/2018,DGOP/0049/PROY/2018,2018-04-16 00:00:00,0000000151,,0000000023,,Obra,0000000001,NULL,NULL
0000000025,2018,DGOP/0023/PROY/2018,DGOP/0023/PROY/2018,2017-03-08 00:00:00,0000000539,,0000000086,,Obra,0000000001,NULL,NULL
0000000026,2018,DGOP/0037/PROY/2018,DGOP/0037/PROY/2018,2018-04-06 00:00:00,0000000712,,0000000076,,Proyecto,0000000001,NULL,NULL
0000000027,2018,DGOP/0048/CONT/2018,DGOP/0048/CONT/2018,2018-04-09 00:00:00,0000000013,0000000742,0000000054,,Obra,0000000001,0000000055,Construcción
0000000028,2018,DGOP/0044/CONT/2018,DGOP/0044/CONT/2018,2018-04-09 00:00:00,0000000633,0000000358,0000000054,,Obra,0000000001,NULL,NULL
0000000029,2018,DGOP/0047/CONT/2018,DGOP/0047/CONT/2018,2018-04-09 00:00:00,0000000622,0000000725,0000000060,,Obra,0000000001,0000000055,Construcción
0000000030,2018,DGOP/0003/CONT/2018,DGOP/0003/CONT/2018,2018-02-26 00:00:00,0000000326,0000000464,0000000056,,Obra,0000000003,NULL,NULL
0000000031,2018,DGOP/0011/OBRA/2018,DGOP/0011/OBRA/2018,2018-03-08 00:00:00,0000000457,,0000000085,,Obra,0000000001,NULL,NULL
0000000032,2018,DGOP/0007/OBRA/2018,DGOP/0007/OBRA/2018,2018-02-26 00:00:00,0000000207,,0000000082,,Obra,0000000001,NULL,NULL
0000000033,2018,DGOP/0008/CONT/2018,DGOP/0008/CONT/2018,2018-02-26 00:00:00,0000000261,,0000000083,,Obra,0000000001,0000000055,Construcción
0000000034,2018,DGOP/0010/CONT/2018,DGOP/0010/CONT/2018,2018-02-26 00:00:00,0000000646,,0000000084,,Obra,0000000001,0000000084,Construcción
0000000035,2018,DGOP/0020/OBRA/2018,DGOP/0020/OBRA/2018,2018-03-08 00:00:00,0000000275,0000000094,0000000059,,Obra,0000000002,0000000055,Construcción
0000000036,2018,DGOP/0021/OBRA/2018,DGOP/0021/OBRA/2018,2018-03-08 00:00:00,0000000672,0000000094,0000000088,,Obra,0000000002,NULL,NULL
0000000037,2018,DGOP/0035/CONT/2018,DGOP/0035/CONT/2018,2018-04-05 00:00:00,0000000665,,0000000087,,Obra,0000000001,NULL,NULL
0000000038,2018,DGOP/0042/CONT/2018,DGOP/0042/CONT/2018,2018-04-09 00:00:00,0000000578,0000000727,0000000088,,Obra,0000000001,NULL,NULL
0000000039,2018,DGOP/0032/CONT/2018,DGOP/0032/CONT/2018,2018-04-04 00:00:00,0000000542,,0000000086,,Obra,0000000001,NULL,NULL
0000000040,2018,DGOP/0034/CONT/2018,DGOP/0034/CONT/2018,2018-04-05 00:00:00,0000000589,,0000000087,,Obra,0000000001,NULL,NULL
0000000041,2018,DGOP/0038/PROY/2018,DGOP/0038/PROY/2018,2018-04-09 00:00:00,0000000677,,0000000081,,Proyecto,0000000001,NULL,NULL
0000000042,2018,DGOP/0711/CONT/2017,DGOP/0711/CONT/2017,2018-04-26 00:00:00,0000000582,0000000728,0000000058,,Obra,0000000002,0000000053,Construcción
0000000044,2018,DGOP/0589/CONT/2017,DGOP/0589/CONT/2017,2017-11-05 00:00:00,0000000370,,0000000055,,Proyecto,0000000001,0000000083,Proyectos
0000000045,2018,DGOP/0002/CONT/2018,DGOP/0002/CONT/2018,2018-02-26 00:00:00,0000000588,,0000000020,,Proyecto,0000000001,0000000020,Proyectos
0000000047,2018,DGOP/0610/CONT/2017,DGOP/0610/CONT/2017,2018-05-07 00:00:00,0000000146,0000000464,0000000058,,Obra,0000000003,0000000054,Construcción
0000000048,2018,DGOP/0053/PROY/2018,DGOP/0053/PROY/2018,2018-04-18 00:00:00,0000000588,,0000000020,,Proyecto,0000000001,0000000020,Proyectos
0000000049,2018,DGOP/0054/PROY/2018,DGOP/0054/PROY/2018,2018-04-18 00:00:00,0000000717,,0000000020,,Proyecto,0000000001,0000000020,Proyectos
0000000050,2018,DGOP/0055/CONT/2018,DGOP/0055/CONT/2018,2018-04-18 00:00:00,0000000582,0000000730,0000000060,,Obra,0000000001,0000000057,Construcción
0000000051,2018,DGOP/0056/CONT/2018,DGOP/0056/CONT/2018,2018-05-07 00:00:00,0000000289,0000000731,0000000056,,Obra,0000000001,0000000054,Construcción
0000000052,2018,DGOP/0057/CONT/2018,DGOP/0057/CONT/2018,2018-05-07 00:00:00,0000000649,,0000000060,,Obra,0000000001,0000000054,Construcción
0000000054,2018,DGOP/0643/CONT/2017,DGOP/0643/CONT/2017,2017-11-06 00:00:00,0000000734,,0000000080,,Obra,0000000001,0000000080,Mantenimiento
0000000055,2018,DGOP/0521/CONT/2017,DGOP/0521/CONT/2017,2017-11-06 00:00:00,0000000640,,0000000089,,Proyecto,0000000001,0000000089,Proyectos
0000000057,2018,DGOP/0059/CONT/2018,DGOP/0059/CONT/2018,2018-04-17 00:00:00,0000000700,0000000735,0000000058,,Obra,0000000001,0000000054,Construcción
0000000058,2018,DGOP/0070/CONT/2018,DGOP/0070/CONT/2018,2018-04-22 00:00:00,0000000700,0000000736,0000000057,,Obra,0000000001,0000000057,Construcción
0000000059,2018,DGOP/0710/CONT/2017,DGOP/0710/CONT/2017,2018-05-18 00:00:00,0000000737,,0000000056,,Obra,0000000001,0000000061,Construcción
0000000060,2018,DGOP/0550/CONT/2017,DGOP/0550/CONT/2017,2017-11-05 00:00:00,0000000680,,0000000020,,Proyecto,0000000001,0000000020,Proyectos
0000000061,2018,DGOP/0523/CONT/2017,DGOP/0523/CONT/2017,2017-11-05 00:00:00,0000000680,,0000000083,,Proyecto,0000000001,0000000083,Proyectos
0000000062,2018,DGOP/0524/CONT/2017,DGOP/0524/CONT/2017,2017-11-05 00:00:00,0000000356,,0000000020,,Proyecto,0000000001,0000000020,Proyectos
0000000063,2018,DGOP/0531/CONT/2017,DGOP/0531/CONT/2017,2017-11-05 00:00:00,0000000343,,0000000087,,Proyecto,0000000001,0000000087,Proyectos
0000000064,2018,DGOP/CONT/0050/2018,DGOP/CONT/0050/2018,2016-04-17 00:00:00,0000000680,,0000000089,,Proyecto,0000000001,0000000089,Proyectos
0000000065,2018,DGOP/0051/CONT/2018,DGOP/0051/CONT/2018,2018-04-17 00:00:00,0000000640,,0000000089,,Proyecto,0000000001,0000000089,Proyectos
0000000066,2018,DGOP/0052/CONT/2018,DGOP/0052/CONT/2018,2018-04-17 00:00:00,0000000640,,0000000089,,Proyecto,0000000001,0000000089,Proyectos
0000000068,2018,DGOP/0060/CONT/2018,DGOP/0060/CONT/2018,2018-04-18 00:00:00,0000000302,,0000000072,,Proyecto,0000000001,0000000072,Proyectos
0000000069,2018,DGOP/0061/CONT/2018,DGOP/0061/CONT/2018,2018-04-21 00:00:00,0000000042,,0000000059,,Proyecto,0000000001,0000000054,Proyectos
0000000071,2018,DGOP/0063/CONT/2018,DGOP/0063/CONT/2018,2018-04-21 00:00:00,0000000584,,0000000080,,Obra,0000000001,0000000080,Construcción
0000000072,2018,DGOP/0064/CONT/2018,DGOP/0064/CONT/2018,2018-04-21 00:00:00,0000000055,,0000000080,,Obra,0000000001,0000000080,Construcción
0000000074,2018,DGOP/0066/CONT/2018,DGOP/0066/CONT/2018,2018-04-22 00:00:00,0000000636,,0000000080,,Obra,0000000001,0000000080,Construcción
0000000075,2018,DGOP/0067/CONT/2018,DGOP/0067/CONT/2018,2018-04-22 00:00:00,0000000522,,0000000080,,Obra,0000000001,0000000080,Construcción
0000000076,2018,DGOP/0633/CONT/2017,DGOP/0633/CONT/2017,2018-05-21 00:00:00,0000000689,,0000000023,,Proyecto,0000000001,0000000023,Proyectos
0000000077,2018,DGOP/CONT/0072/2018,DGOP/CONT/0072/2018,2018-04-22 00:00:00,0000000364,,0000000068,,Obra,0000000001,0000000068,Construcción
0000000078,2018,DGOP/0073/CONT/2017,DGOP/0073/CONT/2017,2018-04-23 00:00:00,0000000167,,0000000081,,Proyecto,0000000001,0000000081,Proyectos
0000000079,2018,DGOP/522/CONT/2017,DGOP/522/CONT/2017,2017-11-05 00:00:00,0000000103,,0000000020,,Proyecto,0000000001,0000000020,Proyectos
0000000080,2018,DGOP/0710/CONT/2017,DGOP/0710/CONT/2017,2018-05-29 00:00:00,0000000531,0000000737,0000000056,,Obra,0000000002,0000000061,Construcción
0000000081,2018,dgop/0712/CONT/2017,dgop/0712/CONT/2017,2018-05-30 00:00:00,0000000074,0000000271,0000000069,,Obra,0000000002,0000000069,Construcción
0000000082,2018,DGOP/0043/CONT/2018,DGOP/0043/CONT/2018,2018-05-30 00:00:00,0000000738,0000000739,0000000056,,Obra,0000000001,0000000054,Construcción
0000000083,2018,DGOP/0045/CONT/2018,DGOP/0045/CONT/2018,2018-05-30 00:00:00,0000000008,,0000000056,,Obra,0000000001,0000000054,Construcción
0000000084,2018,DGOP/0062/CONT/2018,DGOP/0062/CONT/2018,2018-04-21 00:00:00,0000000055,,0000000080,,Obra,0000000001,0000000080,Construcción
0000000085,2018,DGOP/0058/CONT/2018,DGOP/0058/CONT/2018,2018-04-21 00:00:00,0000000733,,0000000060,,Obra,0000000001,0000000054,Construcción
0000000086,2018,DGOP/0040/CONT/2018,DGOP/0040/CONT/2018,2018-04-09 00:00:00,0000000714,0000000151,0000000056,,Obra,0000000001,0000000054,Construcción
0000000087,2018,DGOP/0075/CONT/2018,DGOP/0075/CONT/2018,2018-04-24 00:00:00,0000000593,,0000000060,,Obra,0000000001,0000000057,Construcción
0000000088,2018,D/012/2018,D/012/2018,2018-06-07 00:00:00,0000000741,,0000000079,,Obra,0000000003,0000000079,Construcción
0000000089,2018,D/010/2018,D/010/2018,2018-06-07 00:00:00,0000000127,,0000000068,,Obra,0000000003,0000000068,Construcción
0000000090,2018,DGOP/0030/CONT/2018,DGOP/0030/CONT/2018,2018-04-04 00:00:00,0000000677,,0000000081,,Obra,0000000001,0000000081,Construcción
0000000091,2018,D/002-I/2018,D/002-I/2018,2018-06-07 00:00:00,0000000166,0000000415,0000000072,,Obra,0000000002,0000000072,Construcción
0000000092,2018,DGOP/0024/2018,DGOP/0024/2018,2018-04-24 00:00:00,0000000166,0000000415,0000000072,,Obra,0000000001,0000000072,Construcción
0000000093,2018,DGOP/0041/CONT/2018,DGOP/0041/CONT/2018,2018-04-09 00:00:00,0000000042,0000000727,0000000059,,Obra,0000000001,0000000054,Construcción
0000000094,2018,DGOP/0065/CONT/2018,DGOP/0065/CONT/2018,2018-04-21 00:00:00,0000000027,,0000000080,,Obra,0000000001,0000000080,Construcción
0000000095,2018,DGOP/0068/CONT/2018,DGOP/0068/CONT/2018,2018-04-22 00:00:00,0000000669,0000000358,0000000088,,Obra,0000000001,0000000062,Construcción
0000000096,2018,DGOP/0069/CONT/2018,DGOP/0069/CONT/2018,2018-04-22 00:00:00,0000000365,0000000358,0000000088,,Obra,0000000001,0000000062,Construcción
0000000097,2018,DGOP/0071/CONT/2018,DGOP/0071/CONT/2018,2018-04-22 00:00:00,0000000364,,0000000068,,Obra,0000000001,0000000068,Construcción
0000000098,2018,DGOP/0074/CONT/2018,DGOP/0074/CONT/2018,2018-06-11 00:00:00,0000000494,0000000737,0000000053,,Obra,0000000003,0000000056,Construcción
0000000100,2018,D/013/2018,D/013/2018,2018-05-14 00:00:00,0000000438,,0000000092,,Obra,0000000003,0000000092,Construcción
0000000102,2018,D/001-I/2018,D/001-I/2018,2018-06-12 00:00:00,0000000015,0000000726,0000000056,,Obra,0000000002,0000000061,Construcción
0000000104,2018,DGOP/0524/PROY/2017,DGOP/0524/PROY/2017,2017-11-05 00:00:00,0000000647,,0000000020,,Obra,0000000001,0000000020,Proyectos
0000000107,2018,D/011/2018,D/011/2018,2018-06-14 00:00:00,0000000457,,0000000077,,Obra,0000000003,0000000077,Construcción
0000000108,2018,DGOP/0076/CONT/2018,DGOP/0076/CONT/2018,2018-04-24 00:00:00,0000000744,0000000653,0000000060,,Obra,0000000001,0000000054,Construcción
0000000109,2018,DGOP/0106/CONT/2018,DGOP/0106/CONT/2018,2018-05-15 00:00:00,0000000015,0000000359,0000000088,,Obra,0000000001,0000000054,Construcción
0000000110,2018,DGOP/0105/CONT/2018,DGOP/0105/CONT/2018,2018-06-14 00:00:00,0000000482,0000000087,0000000056,,Obra,0000000003,0000000054,Construcción
0000000111,2018,DGOP/0104/CONT/20108,DGOP/0104/CONT/20108,2018-05-15 00:00:00,0000000666,0000000097,0000000055,,Obra,0000000003,0000000054,Construcción
0000000112,2018,D/009/2018,D/009/2018,2018-06-14 00:00:00,0000000156,0000000415,0000000055,,Obra,0000000003,0000000055,Construcción
0000000113,2018,DGOP/0111,DGOP/0111,2018-05-24 00:00:00,0000000664,0000000743,0000000060,,Obra,0000000003,0000000061,Construcción
0000000114,2018,DGOP/CONT/0039/2018,DGOP/CONT/0039/2018,2018-06-14 00:00:00,0000000237,0000000743,0000000088,,Obra,0000000001,0000000054,Construcción
0000000115,2018,DGOP/0046/CONT/2018,DGOP/0046/CONT/2018,2018-04-09 00:00:00,0000000669,0000000736,0000000059,,Obra,0000000001,0000000054,Construcción
0000000116,2018,DGOP/0117/CONT/2018,DGOP/0117/CONT/2018,2018-05-24 00:00:00,0000000539,,0000000075,,Obra,0000000001,0000000075,Proyectos
0000000117,2018,DGOP/0100/CONT/2018,DGOP/0100/CONT/2018,2018-05-14 00:00:00,0000000152,0000000461,0000000059,,Obra,0000000002,0000000062,Construcción
0000000118,2018,D/005/2018,D/005/2018,2018-06-04 00:00:00,0000000418,0000000464,0000000055,,Obra,0000000003,0000000055,Construcción
0000000119,2018,DGOP/0099/CONT/2018,DGOP/0099/CONT/2018,2018-05-14 00:00:00,0000000219,0000000151,0000000055,,Obra,0000000003,0000000055,Construcción
0000000120,2018,DGOP/0102/CONT/2018,DGOP/0102/CONT/2018,2018-06-14 00:00:00,0000000366,0000000746,0000000088,,Obra,0000000003,0000000062,Construcción
0000000121,2018,DGOP/0089/CONT/2018,DGOP/0089/CONT/2018,2018-05-09 00:00:00,0000000747,,0000000073,,Obra,0000000001,0000000073,Construcción
0000000122,2018,DGOP/0090/CONT/2018,DGOP/0090/CONT/2018,2018-05-09 00:00:00,0000000166,,0000000073,,Obra,0000000001,0000000073,Construcción
0000000123,2018,DGOP/0091/CONT/2018,DGOP/0091/CONT/2018,2018-05-09 00:00:00,0000000347,,0000000073,,Obra,0000000001,0000000073,Construcción
0000000124,2018,DGOP/0088/CONT/2018,DGOP/0088/CONT/2018,2018-05-09 00:00:00,0000000724,,0000000078,,Obra,0000000001,0000000078,Construcción
0000000125,2018,DGOP/0108/CONT/2018,DGOP/0108/CONT/2018,2018-05-15 00:00:00,0000000120,0000000588,0000000053,,Obra,0000000001,0000000053,Construcción
0000000126,2018,DGOP/0132/CONT/2018,DGOP/0132/CONT/2018,2018-05-28 00:00:00,0000000720,,0000000072,,Obra,0000000001,0000000072,Construcción
0000000127,2018,DGOP/0130/CONT/2018,DGOP/0130/CONT/2018,2018-05-28 00:00:00,0000000207,,0000000082,,Obra,0000000001,0000000082,Construcción
0000000128,2018,DGOP/0133/CONT/2018,DGOP/0133/CONT/2018,2018-06-15 00:00:00,0000000505,,0000000055,,Obra,0000000001,0000000055,Construcción
0000000129,2018,DGOP/0120/PROY/2018,DGOP/0120/PROY/2018,2018-05-28 00:00:00,0000000529,,0000000075,,Obra,0000000001,0000000075,Proyectos
0000000130,2018,DGOP/0119/PROY/2018,DGOP/0119/PROY/2018,2018-05-28 00:00:00,0000000529,,0000000075,,Obra,0000000001,0000000075,Proyectos
0000000131,2018,DGOP/0127/CONT/2018,DGOP/0127/CONT/2018,2018-05-28 00:00:00,0000000604,0000000748,0000000059,,Obra,0000000001,0000000054,Construcción
0000000132,2018,DGOP/0092/CONT/2018,DGOP/0092/CONT/2018,2018-05-09 00:00:00,0000000347,0000000352,0000000080,,Obra,0000000001,0000000080,Construcción
0000000133,2018,DGOP/0095/CONT/2018,DGOP/0095/CONT/2018,2018-05-10 00:00:00,0000000493,0000000749,0000000080,,Obra,0000000001,0000000080,Construcción
0000000134,2018,DGOP/0093/CONT/2018,DGOP/0093/CONT/2018,2018-05-10 00:00:00,0000000505,0000000749,0000000080,,Obra,0000000001,0000000080,Construcción
0000000135,2018,DGOP/0098/CONT/2018,DGOP/0098/CONT/2018,2018-05-10 00:00:00,0000000016,0000000030,0000000080,,Obra,0000000001,0000000080,Construcción
0000000136,2018,DGOP/0097/CONT/2018,DGOP/0097/CONT/2018,2018-06-15 00:00:00,0000000750,0000000352,0000000080,,Obra,0000000001,0000000080,Construcción
0000000137,2018,DGOP/0082/CONT/2018,DGOP/0082/CONT/2018,2018-05-25 00:00:00,0000000661,0000000613,0000000053,,Obra,0000000001,0000000053,Construcción
0000000138,2018,DGOP/0081/CONT/2018,DGOP/0081/CONT/2018,2018-05-25 00:00:00,0000000365,0000000613,0000000053,,Obra,0000000001,0000000053,Construcción
0000000139,2018,DGOP/0110/CONT/2018,DGOP/0110/CONT/2018,2018-06-15 00:00:00,0000000543,0000000751,0000000053,,Obra,0000000001,0000000053,Construcción
